id,label,second label,third label
33,Adam von Münsterfeld,,
89,Aloys Bernhard Philipp Minkus,,
12,Aloysia Anna Regina Lackenbacher,,
65,Angelika Anna Kohn,,
54,Anna Apffel,,
53,Anna Cäcilia Lackenbacher,,
10,Anna Catharina Lackenbacher,,
29,Anna Lackenbacher (sz. Bauer),Anna Theresia Lackenbacher (sz. Bauer),Anna Theresia Lackenbacher von Salamon (sz. Bauer)
77,Anna Maria Wilhelmina Mayer (sz. Dessauer),,
46,Anna Rosalia Lackenbacher,,
11,Anna Steinbach (sz. Schorndorfer),,
16,Anna Theresia Lackenbacher (sz. Arnstein[er]),Anna Theresia Lackenbacher von Salamon (sz. Arnstein[er]),
75,Anton Heinrich Arnstein(er),,
78,Anton Joseph Dessauer,,
62,Antonia Anna Kohn,,
18,Barbara Arnstein(er) (sz. Leidesdorf[er]),,
94,Barbara Zappert (sz. Trebitsch),,
28,Bernhard Lackenbacher,Bernhard Philipp Lackenbacher,Bernhard Philipp Lackenbacher von Salamon
39,Cäcilia Bauer (sz. Heller),,
68,Camilla Theresia Jacobina Lackenbacher,,
17,David Isaak Arnstein(er),,
55,Dorothea Lackenbacher,,
31,Eduard Johann Nepomuk Adolph Lackenbacher,,
59,Elisabeth Kohn (sz. Bauer),,
34,Emil Heinrich Philipp Lackenbacher,,
84,Emilie Anna Therese Mayer,,
47,Emmerich Jakob Ignatz Bernhard Lackenbacher,,
64,Emmerich Jakob Kohn,,
3,Ernestina Lackenbacher (sz. Zappert),Elisabetha Theresia Lackenbacher (sz. Zappert),
81,Ferdinand Bernhard Heinrich Mayer,,
23,Ferdinand Franz Lackenbacher,,
24,Franz Seraph Johann von Nepomuk Joseph Franz von Paula Anton von Padua Rouland,,
1,Franz Seraph Stephan Lackenbacher,,
76,Franziska Anna Leidesdorf(er) (sz. Arnstein[er]),,
73,Franziska Kaan (sz. Iritzer),,
22,Friederike Theresia Lackenbacher,,
51,Friedrich Georg Lackenbacher,,
70,Gabriele Anna Rosina Lackenbacher,,
2,Gottfried Lackenbacher,Gottfried Stephan Lackenbacher,
63,Gustav Bernhard Kohn,,
20,Gustav Karl Lackenbacher,,
35,Heinrich Bernhard Philipp Lackenbacher,,
13,Heinrich Philipp Lackenbacher,Heinrich Philipp Lackenbacher von Salamon,
92,Heinrich Philipp Zappert,,
71,Heinrich Samuel Kaan,Heinrich Samuel Kaan von Albest,
25,Henrica Rosalia Lackenbacher,,
86,Hermann Bernhard Mayer,,
9,Huszák Erzsébet (sz. Stotz),,
67,Ignatz Johann Leopold Heinrich Mayer,Ignatz Johann Leopold Heinrich Mayer von Alsó-Ruszbach,
27,Ignatz Johann Nepomuk Gustav Lackenbacher,,
48,Ignaz Jakob Lackenbacher,,
7,Israel Wolf Zappert,,
95,Jakob Joseph Löwenthal,,
42,Johann Baptist Bernhard Lackenbacher,,
43,Johann Baptist Ludwig Graf von Barth-Barthenheim,,
52,Johann Georg Held,,
30,Johann Nepomuk Rüstel,,
5,Joseph Johann Lackenbacher,,
41,Josepha Greipel (sz. Brand),,
88,Judith Mayer (sz. London),,
21,Karl Aloys Braulik,,
82,Karl August Philipp Mayer,,
93,Karl Zappert,,
74,Karolina von Führer (sz. Freiin Mühlstetten von Flasperg),,
58,Kaspar Kohn,,
14,Katharina Lackenbacher (sz. Hirsch),,
83,Klementine Anna Mayer,,
80,Leopold Ignaz Heinrich Mayer,,
72,Löbl Herschl Kaan,,
44,Maria Anna Eleonora Franziska Lackenbacher,,
91,Maria Franziska Minkus (sz. Heimann),,
40,Maria Josepha Johanna Lackenbacher,,
19,Maria Theresia Braulik (sz. La Roze),,
45,Maria von Chernel (sz. Friz),,
32,Mauritz Adam Friedrich Lackenbacher,,
6,Moses Lackenbacher,,
85,Nathalie Anna Maria Mayer,,
87,Nathan Mayer,,
61,Pauline Anna Kohn,,
36,Pauline Anna Theresia Lackenbacher,,
15,Philipp Viktor La Roze,,
26,Rosalia Aloysia Löwenthal (sz. Arnstein[er]),,
69,Rosalia Anna Lackenbacher (sz. Grabner),,
57,Rudolph Heinrich Kohn,,
66,Rudolph Ignaz Heinrich Kohn,,
38,Salomon Bauer,,
79,Sara Dessauer (sz. Herz),,
60,Sophie Anna Kohn,,
56,Susanna Karolina Kaan (sz. Kohn),Maria Susanna Kaan von Albest (sz. Kohn),
90,Theodor Johann Minkus,,
49,Theresia Lackenbacher,,
37,Theresia Rüstel (sz. Greutter),,
50,Theresia Susanna Maria Kohn (sz. Lackenbacher),,
8,Theresia Zappert (sz. Mand[e]l),,
4,Végh István,,